ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
1124381,1200,Studio,22,Max. 2 Personen,Vermietungsunternehmen,Buchholzer Stra�e,(Nebenkosten inklusive),2. Sept.
1514663,820,WG-Zimmer,12,5  Mitbewohner(innen),Vermietungsunternehmen,Turiner Stra�e,(Nebenkosten inklusive),24. Mai
1129767,720,WG-Zimmer,10,6  Mitbewohner(innen),Vermietungsunternehmen,K�penicker Stra�e,(Nebenkosten inklusive),1. Juli
1089357,1495,Studio,37,Max. 2 Personen,Vermietungsunternehmen,Bismarckstra�e,(Nebenkosten inklusive),1. Juli
1394286,1295,Wohnung,30,1 Schlafzimmer,Vermietungsunternehmen,Osnabr�cker Stra�e,(Nebenkosten inklusive),1. Aug.
1032484,720,WG-Zimmer,9,7  Mitbewohner(innen),Vermietungsunternehmen,Br�ckenstra�e,(Nebenkosten inklusive),16. Aug.
1467022,1205,Studio,27,Max. 1 Person,Vermietungsunternehmen,Braunschweiger Stra�e,(Nebenkosten inklusive),7. Nov.
1053198,650,WG-Zimmer,14,3  Mitbewohner(innen),Vermietungsunternehmen,Bandelstra�e,(Nebenkosten inklusive),1. Juni
1448251,1000,Studio,34,Max. 2 Personen,Vermietungsunternehmen,Pankstra�e,(Nebenkosten inklusive),1. Juni
1081397,625,WG-Zimmer,9,7  Mitbewohner(innen),Vermietungsunternehmen,Hermannstra�e,(Nebenkosten inklusive),18. Juni
888743,1500,Wohnung,45,1 Schlafzimmer,Privater Vermieter,Bergmannstra�e,(Nebenkosten inklusive),24. Mai
1105796,680,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,N�rnberger Stra�e,(Nebenkosten inklusive),1. Juni
1101074,680,WG-Zimmer,20,4  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Stra�e,(Nebenkosten inklusive),16. Juni
1026029,645,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Kaiser-Friedrich-Stra�e,(Nebenkosten inklusive),18. Juni
1114131,780,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Cunostra�e,(Nebenkosten inklusive),1. Aug.
793326,690,WG-Zimmer,9,5  Mitbewohner(innen),Vermietungsunternehmen,Schulstra�e,(Nebenkosten inklusive),1. Aug.
609153,690,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Gneisenaustra�e,(Nebenkosten inklusive),1. Juli
1101026,690,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Stra�e,(Nebenkosten inklusive),1. Aug.
1477310,640,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Spiegelweg,(Nebenkosten inklusive),4. Aug.
1100117,1125,Wohnung,38,1 Schlafzimmer,Privater Vermieter,Wildenbruchstra�e,(Nebenkosten inklusive),1. Nov.
1245179,1380,Studio,36,Max. 2 Personen,Vermietungsunternehmen,Knaackstra�e,(einige Nebenkosten inklusive),1. Juni
492017,1380,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Knaackstra�e,(einige Nebenkosten inklusive),3. Juni
1085220,1395,Studio,30,Max. 2 Personen,WG,R�ckertstra�e,(Nebenkosten inklusive),15. Juli
1493873,625,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Simmelstra�e,(Nebenkosten inklusive),1. Aug.
1105846,700,WG-Zimmer,10,3  Mitbewohner(innen),Vermietungsunternehmen,Zwinglistra�e,(Nebenkosten inklusive),1. Aug.
1101294,700,WG-Zimmer,12,7  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Stra�e,(Nebenkosten inklusive),16. Aug.
1427145,1658,Wohnung,55,1 Schlafzimmer,Vermietungsunternehmen,Weinbergsweg,(Nebenkosten exklusive),24. Mai
