ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
933304,710,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Hohenzollerndamm,(Nebenkosten inklusive),1. Aug.
1298876,740,WG-Zimmer,16,2  Mitbewohner(innen),Vermietungsunternehmen,Lauterberger Straße,(Nebenkosten inklusive),29. Mai
1522090,1177,Studio,32,Max. 1 Person,Vermietungsunternehmen,Lindenstraße,(Nebenkosten inklusive),1. Juni
1443738,1458,Wohnung,40,1 Schlafzimmer,Vermietungsunternehmen,Braunschweiger Straße,(Nebenkosten inklusive),3. Juni
1522083,680,WG-Zimmer,13,5  Mitbewohner(innen),Vermietungsunternehmen,Rathenaustraße,(Nebenkosten inklusive),29. Mai
1039998,615,WG-Zimmer,9,6  Mitbewohner(innen),Vermietungsunternehmen,Hermannstraße,(Nebenkosten inklusive),23. Juli
1516566,1700,Studio,20,Max. 2 Personen,Vermietungsunternehmen,Elisabethkirchstraße,(Nebenkosten inklusive),1. Aug.
1114359,770,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1067675,650,WG-Zimmer,18,3  Mitbewohner(innen),Vermietungsunternehmen,Tempelhofer Weg,(Nebenkosten inklusive),1. Juni
1007963,750,WG-Zimmer,15,2  Mitbewohner(innen),Vermietungsunternehmen,Treseburger Ufer,(Nebenkosten inklusive),1. Juni
1007362,750,WG-Zimmer,24,1 Mitbewohner(in),Vermietungsunternehmen,Braunlager Straße,(Nebenkosten inklusive),1. Juli
906192,650,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Flughafenstraße,(Nebenkosten inklusive),1. Juli
1267910,760,WG-Zimmer,21,8  Mitbewohner(innen),Vermietungsunternehmen,Uhlandstraße,(Nebenkosten inklusive),1. Aug.
998446,760,WG-Zimmer,20,1 Mitbewohner(in),Vermietungsunternehmen,Friedrichsbrunner Straße,(Nebenkosten inklusive),1. Aug.
1521856,1950,Studio,47,Max. 1 Person,Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1521854,1950,Studio,47,Max. 1 Person,Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
1521853,1950,Studio,47,Max. 1 Person,Vermietungsunternehmen,Cunostraße,(Nebenkosten inklusive),29. Mai
888743,1500,Wohnung,45,1 Schlafzimmer,Privater Vermieter,Bergmannstraße,(Nebenkosten inklusive),29. Mai
1518893,1500,Wohnung,54,1 Schlafzimmer,Vermietungsunternehmen,Proskauer Straße,(Nebenkosten inklusive),1. Juni
1522105,1218,Studio,30,Max. 1 Person,Vermietungsunternehmen,Allee der Kosmonauten,(Nebenkosten inklusive),1. Juli
1205913,750,WG-Zimmer,16,5  Mitbewohner(innen),Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1129231,750,WG-Zimmer,15,6  Mitbewohner(innen),Vermietungsunternehmen,Köpenicker Straße,(Nebenkosten inklusive),1. Juli
1007271,790,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Greifswalder Straße,(Nebenkosten inklusive),1. Juli
1007259,770,WG-Zimmer,18,2  Mitbewohner(innen),Vermietungsunternehmen,Potsdamer Straße,(Nebenkosten inklusive),1. Juli
1101026,690,WG-Zimmer,11,7  Mitbewohner(innen),Vermietungsunternehmen,Weimarische Straße,(Nebenkosten inklusive),1. Aug.
1477310,640,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Spiegelweg,(Nebenkosten inklusive),4. Aug.
