id,price,size,housing_type,address,housing_type_1,provider_type,rent_price_info,listing_day,listing_month,listing_year,listing_date
1274643,1400,58,Wohnung,Romy-Schneider-Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,10,2024,2024-10-01
1047672,1590,26,Studio,Reinickendorfer Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1047667,1590,22,Studio,Reinickendorfer Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1226046,1590,30,Studio,Am Flughafen,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),10,6,2024,2024-06-10
1344768,1700,41,Wohnung,Simon-Dach-Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,9,2024,2024-09-01
1081684,790,16,WG-Zimmer,Wrangelstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1028258,1200,25,Studio,Lehrter Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1001032,1700,45,Wohnung,Wisbyer Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1001026,1700,56,Wohnung,Wisbyer Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
516186,1350,35,Wohnung,Mittenwalder Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
517332,1350,35,Wohnung,Jansastrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,10,2024,2024-10-01
1427134,1950,83,Wohnung,Schwarzdornweg,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
868487,650,12,WG-Zimmer,Luebbener Strasse,WG-Zimmer,Studentenwohnungen,(Nebenkosten inklusive),1,6,2024,2024-06-01
838834,590,10,WG-Zimmer,Emdenzeile,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),4,6,2024,2024-06-04
1330731,1950,40,Wohnung,Prinzenallee,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),16,6,2024,2024-06-16
1522445,765,13,WG-Zimmer,Stromstrasse,WG-Zimmer,Co-living,(Nebenkosten inklusive),19,6,2024,2024-06-19
1330603,1950,35,Wohnung,Prinzenallee,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),30,6,2024,2024-06-30
1330729,1950,36,Wohnung,Prinzenallee,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1189492,1040,22,Studio,Reinickendorfer Strasse,Studio,Studentenwohnungen,(Nebenkosten inklusive),31,5,2024,2024-05-31
987469,1800,64,Wohnung,Bleibtreustrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
511560,1800,105,Wohnung,Tempelherrenstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
998563,720,9,WG-Zimmer,Kottbusser Damm,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),30,6,2024,2024-06-30
1509744,860,17,WG-Zimmer,Muellerstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),4,7,2024,2024-07-04
